XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,1215,nan,nan,nan,nan
1_2,XY,sum,-7422249883.670235,-5903270536152.821,-1.485332611635281e-07,-0.00011813561090074242
1_2,XY,2589,nan,nan,nan,nan
1_2,XY,2269,nan,nan,nan,nan
1_2,XY,644,nan,nan,nan,nan
1_2,XY,2389,nan,nan,nan,nan
4_3,XY,1215,nan,nan,nan,nan
4_3,XY,sum,-7422249883.670235,-5903270536152.821,-1.485332611635281e-07,-0.00011813561090074242
4_3,XY,2589,nan,nan,nan,nan
4_3,XY,2269,nan,nan,nan,nan
4_3,XY,644,nan,nan,nan,nan
4_3,XY,2389,nan,nan,nan,nan
5_6,XY,1215,637488413208.849,901548663229.8657,1.7293663030562103e-09,2.4457038692000796e-09
5_6,XY,sum,-7422249883.670235,-5903270536152.821,-1.485332611635281e-07,-0.00011813561090074242
5_6,XY,2589,631684079382.2013,893340582023.3301,1.7452568718692015e-09,2.4681780665118012e-09
5_6,XY,2269,635402520441.5488,898599181375.2019,1.7350434487197981e-09,2.4537337711323122e-09
5_6,XY,644,636039271683.4915,899499493072.0723,1.7333064630964537e-09,2.4512767596364027e-09
5_6,XY,2389,642219913588.424,908240633560.8169,1.71662534447457e-09,2.4276869300744182e-09
7_8,XY,1215,640006930980.5981,905123790404.6509,1.7225610021176128e-09,2.4361157168268115e-09
7_8,XY,sum,5353184361.888032,1.8923316679941988e+16,2.0594302491075236e-07,0.7280012820325992
7_8,XY,2589,650406349524.5394,919837570557.1013,1.6950187850996096e-09,2.3971813351367793e-09
7_8,XY,2269,633724173356.3496,896231823472.6859,1.7396385158440808e-09,2.460249213756201e-09
7_8,XY,644,655939379669.0872,927663712945.9711,1.680720832690864e-09,2.376963140810693e-09
7_8,XY,2389,640482321333.3143,905800986671.644,1.7212824517890618e-09,2.434320653730776e-09
9_10,XY,1215,639617083732.6893,904585341087.7639,1.7236109047595367e-09,2.4376352630945375e-09
9_10,XY,sum,5353184361.888032,1.8923316679941988e+16,2.0594302491075236e-07,0.7280012820325992
9_10,XY,2589,640624915848.0535,905988514781.5245,1.7208993173997025e-09,2.433740833504038e-09
9_10,XY,2269,638673716389.5563,903241197780.0862,1.7261568029201967e-09,2.4412088648954116e-09
9_10,XY,644,648772468094.2091,917514171206.984,1.6992875539719553e-09,2.4031852281045312e-09
9_10,XY,2389,643730697267.8627,910395896882.2396,1.7125965641707096e-09,2.4220390477772434e-09
