Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,Y,644,0.10976995364655473,0.00010216323785451883,1.0000000257781734,4.233567186465008,0.830000000006879,0.036434251462684475,0.3367885023230988,0.0006711376631081678,1.1677180392554094e-11,0.7602311316237417,0.10976995364655473,0.00010216323785451883,0.830000000006879,0.036434251462684475,0.22837654969966512,0.010027227275783654,-999,3521.7929045917917,41
1,Y,1215,0.13041674464600014,nan,1.0,nan,0.83,nan,0.3676752336664804,nan,0.0,nan,0.13041674464600014,nan,0.83,nan,0.2713322286804459,nan,-999,62986.25883718593,41
1,Y,2269,0.09396728105035836,4.4764425440550424e-05,1.3980608532738628,0.40980773212890775,0.8298058956187245,0.002542598537746743,0.34286338056674864,0.0002891918804116822,-0.002065704769827912,0.0031678897631346125,0.09396728105035836,4.4764425440550424e-05,0.8298058956187245,0.002542598537746743,0.1954533466154243,0.0006060811936097863,-999,1215.3000453266309,42
1,Y,2389,0.09292982849810402,0.00039692466658954636,0.9998705807801695,0.005641518767806053,0.8299995471733257,0.05435544024284367,0.341829236643973,0.0009258430324270706,2.117982393071722e-06,0.06474405501238187,0.09292982849810402,0.00039692466658954636,0.8299995471733257,0.05435544024284367,0.1933405391243764,0.012688486622879575,-999,972.4744535623975,42
1,Y,2589,0.09337039859096757,0.0003384080971941976,0.9999969541429075,0.004315969647629259,0.8299992188116794,1.414948861042329,0.3381500035601895,0.0024334844744838824,2.1996746698792205e-07,1.4142135623880496,0.09337039859096757,0.0003384080971941976,0.8299992188116794,1.414948861042329,0.1942570684978716,0.33116228639758083,-999,1804.9752367827323,41
1,Y,sum,-0.002216149008866926,1058.29846002016,1.0000590188997909,2.290032293004402,0.8300000000039852,1.4149492572868843,0.22000000000007125,3.622391809120835,8.148554342405205e-17,1.4142135623730951,-0.002216149008866926,1058.29846002016,0.8300000000039852,1.4149492572868843,-0.00461070126615182,2201.791499619134,-999,0.04840000000003135,42
2,X,644,0.10642048097373374,0.0002879806056410217,0.9999987087823042,0.006929814474731288,0.8299999447353594,1.4149492292530652,0.3040447121010541,0.001959515347064511,2.1922880895336535e-08,1.4142135623730965,0.10642048097373374,0.0002879806056410217,0.8299999447353594,1.4149492292530652,0.22140795214292397,0.37744750214811973,-999,1353.8097586984634,42
2,X,1215,0.10409315594758352,0.00026109660717891006,0.9999976553902981,0.005669509047911858,0.8299997380408981,1.4149491244117316,0.3191727656637757,0.0020010493847347766,1.0252730289028507e-07,1.4142135623732877,0.10409315594758352,0.00026109660717891006,0.8299997380408981,1.4149491244117316,0.2165658954007282,0.36919295479355696,-999,1027.7412402351422,41
2,X,2269,0.1042245301536895,0.0002922896755174893,0.999996651523015,0.006392022768139827,0.8299995241863924,1.414949015938079,0.31961988662525936,0.0021259925593734574,2.0893383958045422e-07,1.4142135623866456,0.1042245301536895,0.0002922896755174893,0.8299995241863924,1.414949015938079,0.2168391636731666,0.36965897867362574,-999,1346.174435048066,42
2,X,2389,0.1053907815590702,0.0003066379393575649,0.9999464971890621,0.008064452437732628,0.8299225318446037,1.4149099596229269,0.3176346859089063,0.002102326394801457,3.0988867470783454e-05,1.4142136089851383,0.1053907815590702,0.0003066379393575649,0.8299225318446037,1.4149099596229269,0.21924521055169413,0.3737851086703052,-999,2604.2517390314156,42
