Scan,Type,BCID,sigma,sigmaErr,sigmaRatio,sigmaRatio_Err,Amp,AmpErr,Frac,FracErr,Mean,MeanErr,Const,ConstErr,CapSigma,CapSigmaErr,peak,peakErr,area,areaErr,fitStatus,chi2,ndof
1,X,41,0.1394543917598956,0.00035211690134507613,0.999765267170198,0.9935753562801842,69.94160078174734,0.23270539583229777,0.9947891105804005,0.06770746425954993,0.0008032860215382317,0.00039673539400947566,0.33864046699609107,0.02671058397000342,0.1394543917598956,0.00035211690134507613,69.94160078174734,0.23270539583229777,24.44880844897528,0.10211667312302365,0,32.828672369187764,19
1,X,281,0.13412396298799695,0.0003276628714259754,1.0000056890608582,0.042781880579076614,78.99369715762387,0.25278166907944666,0.9954621418293462,0.7422931479879218,0.0007356638879606452,0.0003727967693404841,0.33197930816402904,0.02697293962832112,0.13412396298799695,0.0003276628714259754,78.99369715762387,0.25278166907944666,26.557595507783976,0.10691972563594578,0,28.89939383747786,19
1,X,872,0.1353801814307599,0.00034175548433972567,1.000003081162572,0.0388939257274043,77.54338917246601,0.25507871221108047,0.9952626976893605,0.7429271967763873,0.0019512527849188492,0.00038876201065168674,0.344405001668267,0.030108665901822707,0.1353801814307599,0.00034175548433972567,77.54338917246601,0.25507871221108047,26.314177791236112,0.10911169435104899,0,35.794463186399085,19
1,X,1783,0.13259012069677695,0.00033273537354147636,1.0000136201033643,0.042945137972886405,80.09982724646959,0.2567466099021516,0.9958247494855399,0.7410981416918925,0.0016161016641059063,0.00036779138161715207,0.42533580018289774,0.03411306596075053,0.13259012069677695,0.00033273537354147636,80.09982724646959,0.2567466099021516,26.621509637217795,0.10837199927870374,0,34.36371285230238,19
1,X,2063,0.13329109873066167,0.0003002532423999403,1.0000043858561605,0.01457229706709795,79.41281084105093,0.23714642997584434,0.31703541715402633,0.5831929790296564,0.0016733329667523143,0.00034031547696551715,0.3300180594612977,0.027266829953144223,0.13329109873066167,0.0003002532423999403,79.41281084105093,0.23714642997584434,26.532712450640176,0.09924776635490541,0,33.03867810891419,19
1,X,sum,0.0037907022085280975,0.11175590637296269,1.170322727891937,0.29856858029917166,0.22034524012340365,0.2944647701206095,0.9900000335788505,0.26013491334820593,0.019090108908129646,0.3935665434034505,0.3000000000024435,0.022261970383638113,0.0037907022085280975,0.11175590637296269,0.22034524012340365,0.2944647701206095,0.002093694324737811,0.06178880797291932,0,2.250000422450116,19
10,Y,41,0.13309719871336398,0.00033451166166773277,1.0000042344160458,0.029104293573610107,73.9759695792909,0.24537533503512066,0.9900000753080567,0.7559343787519682,-0.0018529605556270052,0.00037436724173990486,0.3803640155939584,0.028423613088842392,0.13309719871336398,0.00033451166166773277,73.9759695792909,0.24537533503512066,24.68024776216046,0.10270910718281893,0,31.762659880398193,19
10,Y,281,0.1230660986745114,2.6872678353406497e-05,1.0074694159139095,1.2076317638152685,82.69164056340142,0.026082817417488968,2.731172343839461e-09,0.8209596814710257,-0.0019489728483603232,4.171583282226534e-05,0.39902221141530286,0.0031958281850514303,0.1230660986745114,2.6872678353406497e-05,82.69164056340142,0.026082817417488968,25.50879687881847,0.009785954526836822,0,18.608245796021006,19
10,Y,872,0.12434452990015633,0.00029427759157700945,1.0000055947373867,0.023406604388782837,82.16122522118994,0.2718337477341066,0.9900002832929857,0.7559339606582083,-0.0012953767513506807,0.0003547225803101546,0.32048921856731344,0.02496750288304378,0.12434452990015633,0.00029427759157700945,82.16122522118994,0.2718337477341066,25.60846375036924,0.10417132123596988,0,27.338046588582838,19
10,Y,1783,0.12215711973419947,0.00029664695062987773,1.0000613047595737,0.02979965218840719,83.78843404371223,0.272435375656805,0.9900069648983643,0.7559205264535271,-0.0022149288648491213,0.00034015071111545775,0.39699437385401676,0.030542408618375427,0.12215711973419947,0.00029664695062987773,83.78843404371223,0.272435375656805,25.656227160278878,0.1041187476404786,0,27.07484884021836,19
10,Y,2063,0.12309682537753915,1.1066771772661702e-06,1.0002145815055794,1.1364058300131055,82.62807064687955,0.0011280225006800038,0.999999997141532,0.9975148365444769,-0.002199947304725286,1.7652457185352968e-06,0.36825820072627147,0.00013998221933300692,0.12309682537753915,1.1066771772661702e-06,82.62807064687955,0.0011280225006800038,25.49555081869776,0.0004167546335784579,0,49.91820267813323,19
10,Y,sum,0.0037907022085280975,0.11175590637296269,1.170322727891937,0.29856858029917166,0.22034524012340365,0.2944647701206095,0.9900000335788505,0.26013491334820593,0.019090108908129646,0.3935665434034505,0.3000000000024435,0.022261970383638113,0.0037907022085280975,0.11175590637296269,0.22034524012340365,0.2944647701206095,0.002093694324737811,0.06178880797291932,0,2.250000422450116,19
2,Y,41,0.13892909271429754,0.0003665561473023013,1.000017219228692,0.051650393546566364,70.62917480973262,0.239144557294523,0.9948238701731829,0.744270095023744,0.0009058092775012486,0.00039735009475934017,0.4025480590802624,0.03262541536913535,0.13892909271429754,0.0003665561473023013,70.62917480973262,0.239144557294523,24.596157533370416,0.10557972036839132,0,12.093898364530675,19
2,Y,281,0.12864618232721003,0.0003091836640397314,1.0000124626259619,0.027757680887543268,79.48383480640864,0.2590073744287551,0.9900006579121688,0.7559332075802305,-0.0001375017657473479,0.0003505292457008784,0.36528753034780564,0.027961930588552064,0.12864618232721003,0.0003091836640397314,79.48383480640864,0.2590073744287551,25.63100580435336,0.10378103275879103,0,23.20456231342997,19
2,Y,872,0.13096433215429718,0.0003332994688925365,1.000001628794577,0.023658940138409412,77.6929909788765,0.26179947024044026,0.9900000189164098,0.7559344921101105,0.00023587600847707436,0.00037815170008952625,0.32500053658429634,0.027541460453577277,0.13096433215429718,0.0003332994688925365,77.6929909788765,0.26179947024044026,25.504969456683973,0.10770073230079659,0,35.078806911110306,19
2,Y,1783,0.1275277138285606,4.6503214387030975e-07,1.002197736627131,0.8582061518051214,80.43879695542194,0.00043633422195910043,2.7269853042355408e-12,0.6261842572983733,-0.0002287298406566777,7.329418550371251e-07,0.3757978569390686,5.4088644785510454e-05,0.1275277138285606,4.6503214387030975e-07,80.43879695542194,0.00043633422195910043,25.713433704049937,0.0001680673036003437,0,38.66435995499031,19
2,Y,2063,0.1287973062923143,0.00020283228101056403,0.6877962125712969,0.7668261151311817,79.9456727308714,0.19269939676873094,1.0,0.9995954428081009,0.00026683720141218854,0.0003250638496087818,0.30000000000001165,0.00854909531955364,0.1287973062923143,0.00020283228101056403,79.9456727308714,0.19269939676873094,25.810218177682486,0.07431361711420098,0,50.42604925708302,19
2,Y,sum,0.0037907022085280975,0.11175590637296269,1.170322727891937,0.29856858029917166,0.22034524012340365,0.2944647701206095,0.9900000335788505,0.26013491334820593,0.019090108908129646,0.3935665434034505,0.3000000000024435,0.022261970383638113,0.0037907022085280975,0.11175590637296269,0.22034524012340365,0.2944647701206095,0.002093694324737811,0.06178880797291932,0,2.250000422450116,19
3,Y,41,0.13835337314084045,0.0003570028440298949,1.0000022878620862,0.020862914228650997,70.93835758890897,0.2356566075208164,0.013389230125607943,0.8371396314936469,-0.00023557513449823302,0.0003911009571222308,0.39640120936089307,0.031230278868632444,0.13835337314084045,0.0003570028440298949,70.93835758890897,0.2356566075208164,24.60145624981354,0.10348395392339856,0,28.181894777360547,19
