XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,19.894035028777218,829.660110205608,-999.0,-999.0
1_2,XY,1783,8527959.902120588,25377.427690689798,-999.0,-999.0
1_2,XY,872,8646722.160043288,37083.878427515425,-999.0,-999.0
1_2,XY,41,8555990.803154815,37266.686579978836,-999.0,-999.0
1_2,XY,281,8590547.661202822,35377.68231152188,-999.0,-999.0
1_2,XY,2063,8594744.864785925,28803.378847979613,-999.0,-999.0
4_3,XY,sum,19.894035028777218,829.660110205608,-999.0,-999.0
4_3,XY,1783,8547602.953230148,35151.016206149354,-999.0,-999.0
4_3,XY,872,8617242.666271847,25273.941674079626,-999.0,-999.0
4_3,XY,41,8567114.546989728,37645.49882329479,-999.0,-999.0
4_3,XY,281,8612070.549254876,34942.41145527638,-999.0,-999.0
4_3,XY,2063,8597797.030322272,30449.77928629437,-999.0,-999.0
5_6,XY,sum,2.5025230114578065e-08,6649.1739983235375,-999.0,-999.0
5_6,XY,1783,8457590.64770058,23190.87197709573,-999.0,-999.0
5_6,XY,872,8522570.494472535,111.62517468851227,-999.0,-999.0
5_6,XY,41,8475607.476988724,87944.37770073277,-999.0,-999.0
5_6,XY,281,8482282.667477077,23210.91663175272,-999.0,-999.0
5_6,XY,2063,8511139.311155431,21448.878659211045,-999.0,-999.0
7_8,XY,sum,2.5025230114578065e-08,6649.1739983235375,-999.0,-999.0
7_8,XY,1783,8573747.338677127,19412.344424933992,-999.0,-999.0
7_8,XY,872,8602617.7885171,16320.629968971996,-999.0,-999.0
7_8,XY,41,8577184.683335762,36089.463253594855,-999.0,-999.0
7_8,XY,281,8578057.86674719,42854.6006570343,-999.0,-999.0
7_8,XY,2063,8558352.754383704,26045.64707555518,-999.0,-999.0
9_10,XY,sum,19.894035028777218,829.660110205608,-999.0,-999.0
9_10,XY,1783,8603431.44449668,34965.16806089676,-999.0,-999.0
9_10,XY,872,8646725.168904455,24990.207161825812,-999.0,-999.0
9_10,XY,41,8561236.860620094,36668.90160647476,-999.0,-999.0
9_10,XY,281,8623315.12932859,2330.030662505677,-999.0,-999.0
9_10,XY,2063,8581469.424051518,769.320891301613,-999.0,-999.0
