XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,0.0008713402236205278,17368.228729946313,-999.0,-999.0
1_2,XY,1783,8391236.99393753,35129.268578242685,-999.0,-999.0
1_2,XY,872,8508129.286869477,36499.04323818221,-999.0,-999.0
1_2,XY,41,8422312.71553799,55269.55023014302,-999.0,-999.0
1_2,XY,281,8452386.318979958,34589.23957505595,-999.0,-999.0
1_2,XY,2063,8457043.108587237,28311.33050962099,-999.0,-999.0
4_3,XY,sum,0.036763350296892594,849588.3226589655,-999.0,-999.0
4_3,XY,1783,8421934.870689318,37022.81679816827,-999.0,-999.0
4_3,XY,872,8465743.407946724,34853.86848005146,-999.0,-999.0
4_3,XY,41,8415747.842669632,36815.76299226421,-999.0,-999.0
4_3,XY,281,8460437.748061804,34295.70598961734,-999.0,-999.0
4_3,XY,2063,8446232.473257748,29730.320400101147,-999.0,-999.0
5_6,XY,sum,1582.384602587168,20676758.528391182,-999.0,-999.0
5_6,XY,1783,8389763.694946611,22897.97027549101,-999.0,-999.0
5_6,XY,872,8454800.033635,24299.211057692642,-999.0,-999.0
5_6,XY,41,8406130.007454338,86867.7433684117,-999.0,-999.0
5_6,XY,281,8414644.112547062,32582.13576404593,-999.0,-999.0
5_6,XY,2063,8442827.085303022,21083.134976189,-999.0,-999.0
7_8,XY,sum,-541.4800714669346,-243708099.81224763,-999.0,-999.0
7_8,XY,1783,8395038.07791332,19075.420388334187,-999.0,-999.0
7_8,XY,872,8423903.565238727,23860.68254441124,-999.0,-999.0
7_8,XY,41,8397323.160474803,37460.537905927915,-999.0,-999.0
7_8,XY,281,8401689.470764117,42308.21813938181,-999.0,-999.0
7_8,XY,2063,8379679.4280734,21271.85116795432,-999.0,-999.0
9_10,XY,sum,-0.002937597366747676,-83834.97753349949,-999.0,-999.0
9_10,XY,1783,8440971.051638499,24010.246112971272,-999.0,-999.0
9_10,XY,872,8483878.655255694,34523.91641423722,-999.0,-999.0
9_10,XY,41,8399422.832166182,35987.11492157927,-999.0,-999.0
9_10,XY,281,8460704.005616672,24786.425038708676,-999.0,-999.0
9_10,XY,2063,8419805.649627198,4.227324399587384,-999.0,-999.0
