XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,2.0600413930748702e-05,0.0418214540929304,-999.0,-999.0
1_2,XY,1783,8528033.924956912,35962.56263226296,-999.0,-999.0
1_2,XY,872,8646831.826336259,37094.02960244931,-999.0,-999.0
1_2,XY,41,8555870.990763338,37709.37906419892,-999.0,-999.0
1_2,XY,281,8590195.781672763,35197.16882275123,-999.0,-999.0
1_2,XY,2063,8594913.460844321,23167.428615458142,-999.0,-999.0
4_3,XY,sum,-0.014762447880486328,-406684.44702269614,-999.0,-999.0
4_3,XY,1783,8533275.110815436,35093.44354416701,-999.0,-999.0
4_3,XY,872,8603873.503737021,35513.69079545474,-999.0,-999.0
4_3,XY,41,8553056.516270272,37364.25073093025,-999.0,-999.0
4_3,XY,281,8598477.887167173,34861.87253256335,-999.0,-999.0
4_3,XY,2063,8584051.671165952,30367.538879627733,-999.0,-999.0
5_6,XY,sum,2942.8537386196035,194161.70429673564,-999.0,-999.0
5_6,XY,1783,8506649.164421186,23208.105127480332,-999.0,-999.0
5_6,XY,872,8572583.559032783,29402.096083577384,-999.0,-999.0
5_6,XY,41,8523275.890559774,88076.09955336366,-999.0,-999.0
5_6,XY,281,8531880.563162068,33124.708235790764,-999.0,-999.0
5_6,XY,2063,8560450.160440546,25728.02907376672,-999.0,-999.0
7_8,XY,sum,-0.19171132930182902,-42796.90760873019,-999.0,-999.0
7_8,XY,1783,8551814.831157874,19443.71789007586,-999.0,-999.0
7_8,XY,872,8581215.286482487,24289.145930856015,-999.0,-999.0
7_8,XY,41,8554174.4185584,38475.413479970244,-999.0,-999.0
7_8,XY,281,8558594.322474845,49778.64920389414,-999.0,-999.0
7_8,XY,2063,8536172.421697052,21665.93716063441,-999.0,-999.0
9_10,XY,sum,-0.0022790607558398563,-2.4698443381853474,-999.0,-999.0
9_10,XY,1783,8578878.529460857,35084.23738343388,-999.0,-999.0
9_10,XY,872,8622488.069566099,34786.452997295084,-999.0,-999.0
9_10,XY,41,8536652.049869211,36575.59016125557,-999.0,-999.0
9_10,XY,281,8598934.84425802,25190.834607493885,-999.0,-999.0
9_10,XY,2063,8557363.204886653,8.851223216565968,-999.0,-999.0
