XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,2.0600413930748702e-05,0.0418214540929304,-999.0,-999.0
1_2,XY,1783,8528033.892670985,35699.998782425675,-999.0,-999.0
1_2,XY,872,8646832.04720104,37118.09370986187,-999.0,-999.0
1_2,XY,41,8552042.483537102,48737.25927717105,-999.0,-999.0
1_2,XY,281,8590197.988622718,35180.98483637161,-999.0,-999.0
1_2,XY,2063,8594913.20811296,23167.404502804864,-999.0,-999.0
4_3,XY,sum,-0.014762447880486328,-406684.44702269614,-999.0,-999.0
4_3,XY,1783,8533276.036596078,35120.84253088636,-999.0,-999.0
4_3,XY,872,8603872.82534266,35422.61346302422,-999.0,-999.0
4_3,XY,41,8553056.516271532,37364.250838772474,-999.0,-999.0
4_3,XY,281,8598477.908840287,34861.943213775936,-999.0,-999.0
4_3,XY,2063,8584051.669989891,30367.616085080812,-999.0,-999.0
5_6,XY,sum,2942.8537386196035,194161.70429673564,-999.0,-999.0
5_6,XY,1783,8506648.073824048,23206.443494176692,-999.0,-999.0
5_6,XY,872,8572583.511063714,29402.15248215746,-999.0,-999.0
5_6,XY,41,8523282.324948419,87974.33581140095,-999.0,-999.0
5_6,XY,281,8531871.397409508,33047.423463401145,-999.0,-999.0
5_6,XY,2063,8560450.160509098,21376.684039154363,-999.0,-999.0
7_8,XY,sum,-0.19171132930182902,-42796.90760873019,-999.0,-999.0
7_8,XY,1783,8551814.827499285,19443.69524086348,-999.0,-999.0
7_8,XY,872,8581215.112021167,24289.146208936654,-999.0,-999.0
7_8,XY,41,8554174.43439437,38475.53533482858,-999.0,-999.0
7_8,XY,281,8558548.21813114,43603.20660613463,-999.0,-999.0
7_8,XY,2063,8536172.32101211,21666.554363892228,-999.0,-999.0
9_10,XY,sum,-0.0022790607558398563,-2.4698443381853474,-999.0,-999.0
9_10,XY,1783,8578878.511168793,35083.3457886968,-999.0,-999.0
9_10,XY,872,8622488.05056157,34786.0736674757,-999.0,-999.0
9_10,XY,41,8536652.049868433,36575.59012979659,-999.0,-999.0
9_10,XY,281,8598934.937046356,25192.26735089805,-999.0,-999.0
9_10,XY,2063,8557363.172288442,162.82266107399377,-999.0,-999.0
