XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,0.025467613979683636,1304907.7363377942,-999.0,-999.0
1_2,XY,1783,8413246.728530623,35448.940407261936,-999.0,-999.0
1_2,XY,872,8537843.414562523,36803.78977597534,-999.0,-999.0
1_2,XY,41,8453375.802906387,36989.45399665092,-999.0,-999.0
1_2,XY,281,8474535.595807608,34760.074810537895,-999.0,-999.0
1_2,XY,2063,8474596.537214564,22971.824409998586,-999.0,-999.0
4_3,XY,sum,0.22763978241192073,21.70868741380837,-999.0,-999.0
4_3,XY,1783,8414821.580375204,34777.67585143241,-999.0,-999.0
4_3,XY,872,8492119.484394405,35177.77783765936,-999.0,-999.0
4_3,XY,41,8452386.740869485,52249.71198430056,-999.0,-999.0
4_3,XY,281,8477448.729341306,34519.7881288571,-999.0,-999.0
4_3,XY,2063,8462049.196101794,30128.666292528666,-999.0,-999.0
5_6,XY,sum,-299.2482811688731,-25525489.1538459,-999.0,-999.0
5_6,XY,1783,8357171.114447582,23282.564216579707,-999.0,-999.0
5_6,XY,872,8437792.199018713,24367.005145183557,-999.0,-999.0
5_6,XY,41,8425920.093079492,41906.84369852579,-999.0,-999.0
5_6,XY,281,8380425.236723247,32566.955554819495,-999.0,-999.0
5_6,XY,2063,8411771.16430405,21324.208226724888,-999.0,-999.0
7_8,XY,sum,0.23845891645221304,139656140.56937832,-999.0,-999.0
7_8,XY,1783,8439725.443925573,22691.50185482184,-999.0,-999.0
7_8,XY,872,8476110.033443924,23088.29375367724,-999.0,-999.0
7_8,XY,41,8465226.06435971,47859.45298221707,-999.0,-999.0
7_8,XY,281,8415020.399263812,32428.95300197776,-999.0,-999.0
7_8,XY,2063,8419105.779336523,21605.641021872878,-999.0,-999.0
9_10,XY,sum,0.30811651368282983,260.1508767389544,-999.0,-999.0
9_10,XY,1783,8458376.519638073,34588.25820186679,-999.0,-999.0
9_10,XY,872,8507938.420377921,34794.60986750333,-999.0,-999.0
9_10,XY,41,8426847.084561106,36339.83687563372,-999.0,-999.0
9_10,XY,281,8476276.870261546,34417.472664559515,-999.0,-999.0
9_10,XY,2063,8427573.51756832,21740.695625977733,-999.0,-999.0
