XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,0.026326507860407886,0.9751183564190643,-999.0,-999.0
1_2,XY,1783,8393838.189265413,35363.5113673857,-999.0,-999.0
1_2,XY,872,8517833.89097854,36734.70359315221,-999.0,-999.0
1_2,XY,41,8433666.7239633,36647.94000601484,-999.0,-999.0
1_2,XY,281,8454890.845281135,34809.84932145167,-999.0,-999.0
1_2,XY,2063,8455052.921207802,22934.893992547637,-999.0,-999.0
4_3,XY,sum,0.13340867818913718,32208.547593756102,-999.0,-999.0
4_3,XY,1783,8402130.01521803,34685.40512773499,-999.0,-999.0
4_3,XY,872,8479270.845667832,35120.58835162786,-999.0,-999.0
4_3,XY,41,8433480.526708933,36964.08858170135,-999.0,-999.0
4_3,XY,281,8464362.165594548,34497.482544622195,-999.0,-999.0
4_3,XY,2063,8449102.6787388,30113.339387391865,-999.0,-999.0
5_6,XY,sum,18759.612916931612,113467441.05924433,-999.0,-999.0
5_6,XY,1783,8384032.736333479,23318.985258955177,-999.0,-999.0
5_6,XY,872,8465091.08677733,24371.072901705626,-999.0,-999.0
5_6,XY,41,8453652.099387323,42171.34184462666,-999.0,-999.0
5_6,XY,281,8407175.521660825,32888.22787909056,-999.0,-999.0
5_6,XY,2063,8439080.311168673,25668.077005767267,-999.0,-999.0
7_8,XY,sum,16.899315867491392,2252.1431726254086,-999.0,-999.0
7_8,XY,1783,8398287.807361575,32439.563110271123,-999.0,-999.0
7_8,XY,872,8434170.100643642,33308.21836627776,-999.0,-999.0
7_8,XY,41,8421715.184751539,47699.08675013181,-999.0,-999.0
7_8,XY,281,8372882.9892380405,40065.12391355263,-999.0,-999.0
7_8,XY,2063,8378484.06407387,21364.511278533617,-999.0,-999.0
9_10,XY,sum,0.024918723578860432,9308.831388291026,-999.0,-999.0
9_10,XY,1783,8444817.50566733,30779.991628608375,-999.0,-999.0
9_10,XY,872,8493987.378123362,24630.629184938753,-999.0,-999.0
9_10,XY,41,8413128.191070428,35125.553471999585,-999.0,-999.0
9_10,XY,281,8477492.36822432,36046.836458684054,-999.0,-999.0
9_10,XY,2063,8413885.354516882,27562.133563978245,-999.0,-999.0
