XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,2.0600413930748702e-05,0.0418214540929304,-999.0,-999.0
1_2,XY,1783,8403527.486980656,35399.17668929304,-999.0,-999.0
1_2,XY,872,8527823.343101824,36778.68466373596,-999.0,-999.0
1_2,XY,41,8436395.187389176,48744.6167877074,-999.0,-999.0
1_2,XY,281,8475708.75547866,43855.52820240892,-999.0,-999.0
1_2,XY,2063,8464812.800791543,22973.91477545366,-999.0,-999.0
4_3,XY,sum,-0.014762447880486328,-406684.44702269614,-999.0,-999.0
4_3,XY,1783,8408537.396243162,34767.28665623962,-999.0,-999.0
4_3,XY,872,8485760.138101468,35055.452126065305,-999.0,-999.0
4_3,XY,41,8440037.373295616,37016.428958710545,-999.0,-999.0
4_3,XY,281,8470977.00386115,34523.19301524908,-999.0,-999.0
4_3,XY,2063,8455648.019715736,30122.955469838533,-999.0,-999.0
5_6,XY,sum,2942.8537386196035,194161.70429673564,-999.0,-999.0
5_6,XY,1783,8369972.011138404,23287.991259297098,-999.0,-999.0
5_6,XY,872,8450838.132603869,24351.578189007494,-999.0,-999.0
5_6,XY,41,8439226.974821202,41746.49329724452,-999.0,-999.0
5_6,XY,281,8393183.472875535,32646.169601789315,-999.0,-999.0
5_6,XY,2063,8424800.538853815,27611.21062605401,-999.0,-999.0
7_8,XY,sum,-0.19171132930182902,-42796.90760873019,-999.0,-999.0
7_8,XY,1783,8418160.772279035,22750.209160731647,-999.0,-999.0
7_8,XY,872,8454328.678609796,33336.204885132276,-999.0,-999.0
7_8,XY,41,8442740.97327396,47680.12969423944,-999.0,-999.0
7_8,XY,281,8393271.486489667,40009.7348487051,-999.0,-999.0
7_8,XY,2063,8397971.805023795,21672.50042201914,-999.0,-999.0
9_10,XY,sum,-0.0022790607558398563,-2.4698443381853474,-999.0,-999.0
9_10,XY,1783,8451363.386807457,34568.612011597055,-999.0,-999.0
9_10,XY,872,8500740.134801637,34486.768216669734,-999.0,-999.0
9_10,XY,41,8419778.762500428,36154.582814185254,-999.0,-999.0
9_10,XY,281,8483986.676677437,36519.95246573128,-999.0,-999.0
9_10,XY,2063,8420499.296244275,21735.910245951814,-999.0,-999.0
