XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,19.894035028777218,829.660110205608,-999.0,-999.0
1_2,XY,1783,8403452.967082988,35613.42361859051,-999.0,-999.0
1_2,XY,872,8527726.04146421,36632.82136357921,-999.0,-999.0
1_2,XY,41,8430844.94155862,55076.311501029224,-999.0,-999.0
1_2,XY,281,8465074.851317575,34935.45462402428,-999.0,-999.0
1_2,XY,2063,8464650.308377199,22726.40074072896,-999.0,-999.0
4_3,XY,sum,19.894035028777218,829.660110205608,-999.0,-999.0
4_3,XY,1783,8422680.616784215,34829.90657414932,-999.0,-999.0
4_3,XY,872,8498952.746463433,35192.92308430722,-999.0,-999.0
4_3,XY,41,8453917.611525951,37055.51660145257,-999.0,-999.0
4_3,XY,281,8484350.413478637,34274.02029602031,-999.0,-999.0
4_3,XY,2063,8469193.586555678,30006.08194032232,-999.0,-999.0
5_6,XY,sum,2.5025230114578065e-08,6649.1739983235375,-999.0,-999.0
5_6,XY,1783,8321693.539140431,23182.157405046357,-999.0,-999.0
5_6,XY,872,8401561.349201959,23989.226386928567,-999.0,-999.0
5_6,XY,41,8389678.578427669,33503.4802914478,-999.0,-999.0
5_6,XY,281,8344398.587600409,32593.829386094145,-999.0,-999.0
5_6,XY,2063,8376258.002613791,21159.300059014,-999.0,-999.0
7_8,XY,sum,2.5025230114578065e-08,6649.1739983235375,-999.0,-999.0
7_8,XY,1783,8439581.257682657,23373.302744457545,-999.0,-999.0
7_8,XY,872,8475813.298522742,22731.392423841316,-999.0,-999.0
7_8,XY,41,8464280.112600755,46439.53794545423,-999.0,-999.0
7_8,XY,281,8414936.621757807,32321.969651718155,-999.0,-999.0
7_8,XY,2063,8420099.955384046,21442.432740344404,-999.0,-999.0
9_10,XY,sum,19.894035028777218,829.660110205608,-999.0,-999.0
9_10,XY,1783,8475579.539237648,34700.3761637398,-999.0,-999.0
9_10,XY,872,8524675.128768597,34846.33001806757,-999.0,-999.0
9_10,XY,41,8444045.34273219,36317.67169883579,-999.0,-999.0
9_10,XY,281,8507671.45769652,36531.76721159137,-999.0,-999.0
9_10,XY,2063,8444255.130099036,21752.700136420186,-999.0,-999.0
