XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,-97.172959978437,-0.014626435630271098,-999.0,-999.0
1_2,XY,1783,7464849.010657707,43123.034387406726,-999.0,-999.0
1_2,XY,872,7513164.525143841,60376.59927482119,-999.0,-999.0
1_2,XY,41,7487926.55549102,54056.7809772579,-999.0,-999.0
1_2,XY,281,7520249.775267566,55431.6193988204,-999.0,-999.0
1_2,XY,2063,7415894.850412083,58289.76846103923,-999.0,-999.0
4_3,XY,sum,6.570565291965874,0.9128618057245215,-999.0,-999.0
4_3,XY,1783,7463304.614244667,78275.80328350388,-999.0,-999.0
4_3,XY,872,7422000.891315673,63211.492625713516,-999.0,-999.0
4_3,XY,41,7486387.682775459,62781.95472582611,-999.0,-999.0
4_3,XY,281,7563790.2491964875,79969.650526154,-999.0,-999.0
4_3,XY,2063,7461926.251709556,60002.72080327512,-999.0,-999.0
5_6,XY,sum,23.33473680212131,75833.45465758818,-999.0,-999.0
5_6,XY,1783,7425657.584839211,51432.07928342802,-999.0,-999.0
5_6,XY,872,7566895.992696525,61005.27539638132,-999.0,-999.0
5_6,XY,41,7414075.197591801,50790.91773332137,-999.0,-999.0
5_6,XY,281,7695002.831156475,67844.05918929563,-999.0,-999.0
5_6,XY,2063,7433921.4915682515,50245.52851773115,-999.0,-999.0
7_8,XY,sum,-0.5832899959709276,-0.09685291583413397,-999.0,-999.0
7_8,XY,1783,7398710.3494804725,52139.20137478314,-999.0,-999.0
7_8,XY,872,7466517.923599129,53884.45334149289,-999.0,-999.0
7_8,XY,41,7399367.325816972,54857.32178663676,-999.0,-999.0
7_8,XY,281,7310972.653995648,50445.06155153421,-999.0,-999.0
7_8,XY,2063,7329271.733479459,51146.32185408936,-999.0,-999.0
9_10,XY,sum,-2.7674706975760217,-0.4466539552096071,-999.0,-999.0
9_10,XY,1783,7501079.368589527,80447.52462360945,-999.0,-999.0
9_10,XY,872,7432514.77875361,57229.30317836124,-999.0,-999.0
9_10,XY,41,7425370.604368741,65781.26425033799,-999.0,-999.0
9_10,XY,281,7489422.3059101,56809.3325366508,-999.0,-999.0
9_10,XY,2063,7588908.031270078,57465.55339760773,-999.0,-999.0
11_12,XY,sum,-0.5015601644327693,-0.4633116249291943,-999.0,-999.0
11_12,XY,1783,7592087.762969932,58449.08416803752,-999.0,-999.0
11_12,XY,872,7578075.156837951,57384.07268916681,-999.0,-999.0
11_12,XY,41,7553280.89025762,54801.97813943407,-999.0,-999.0
11_12,XY,281,7610918.884105048,55570.1289655998,-999.0,-999.0
11_12,XY,2063,7603641.556737652,74335.00447315493,-999.0,-999.0
