XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,240.62230455751452,672.5727325071036,-999.0,-999.0
1_2,XY,1783,7441811.215732049,57418.845594989216,-999.0,-999.0
1_2,XY,872,7489583.640265214,60132.333524015536,-999.0,-999.0
1_2,XY,41,7464997.340589106,53887.86287503876,-999.0,-999.0
1_2,XY,281,7497030.202476055,55303.777729020716,-999.0,-999.0
1_2,XY,2063,7393135.595303296,58099.523092491676,-999.0,-999.0
4_3,XY,sum,240.62230455751452,672.5727325071036,-999.0,-999.0
4_3,XY,1783,7459099.781863109,78101.28006308284,-999.0,-999.0
4_3,XY,872,7417769.856309102,62963.6350091365,-999.0,-999.0
4_3,XY,41,7483098.538428535,62676.4143624829,-999.0,-999.0
4_3,XY,281,7570796.395835602,61869.425011959975,-999.0,-999.0
4_3,XY,2063,7458331.434548742,60008.5337297606,-999.0,-999.0
5_6,XY,sum,0.0019617352351749087,5.243063509466576e-09,-999.0,-999.0
5_6,XY,1783,7401325.37765419,51227.06433890389,-999.0,-999.0
5_6,XY,872,7490447.44372107,48864.609918270646,-999.0,-999.0
5_6,XY,41,7391304.328033257,50603.84198878382,-999.0,-999.0
5_6,XY,281,7671777.17197831,67931.00161641491,-999.0,-999.0
5_6,XY,2063,7411306.519516683,50188.767299370644,-999.0,-999.0
7_8,XY,sum,0.0019617352351749087,5.243063509466576e-09,-999.0,-999.0
7_8,XY,1783,7418543.130058561,52285.379889594406,-999.0,-999.0
7_8,XY,872,7485776.0632283185,54034.18966351327,-999.0,-999.0
7_8,XY,41,7417603.062047039,55329.55891826286,-999.0,-999.0
7_8,XY,281,7328501.145051498,50549.127275549974,-999.0,-999.0
7_8,XY,2063,7347753.19050274,51319.86466131398,-999.0,-999.0
9_10,XY,sum,240.62230455751452,672.5727325071036,-999.0,-999.0
9_10,XY,1783,7501603.835371479,80517.11127971801,-999.0,-999.0
9_10,XY,872,7433304.651680276,57155.272359709306,-999.0,-999.0
9_10,XY,41,7427328.223262626,65623.99152625212,-999.0,-999.0
9_10,XY,281,7491676.126838553,56645.387780494006,-999.0,-999.0
9_10,XY,2063,7590134.26080036,57375.74090200145,-999.0,-999.0
11_12,XY,sum,240.62230455751452,672.5727325071036,-999.0,-999.0
11_12,XY,1783,7596563.430002169,58380.69288007986,-999.0,-999.0
11_12,XY,872,7584870.908937812,57461.33445127337,-999.0,-999.0
11_12,XY,41,7558485.854051068,55116.66366766386,-999.0,-999.0
11_12,XY,281,7615970.866522985,55639.34980837186,-999.0,-999.0
11_12,XY,2063,7609647.487608942,74758.12885134996,-999.0,-999.0
