XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,0.0038672770914960027,1.84375708095965e-06,-999.0,-999.0
1_2,XY,1783,7468970.690570327,57588.159577286984,-999.0,-999.0
1_2,XY,872,7517288.7898144955,60404.375043902415,-999.0,-999.0
1_2,XY,41,7492161.793490758,54068.86116036566,-999.0,-999.0
1_2,XY,281,7524492.897242775,55477.33254056451,-999.0,-999.0
1_2,XY,2063,7420066.752279536,58319.370420471394,-999.0,-999.0
4_3,XY,sum,39262.11308439204,1605.9077510966201,-999.0,-999.0
4_3,XY,1783,7468362.036551068,77704.41123827334,-999.0,-999.0
4_3,XY,872,7425922.776807084,63407.339320123916,-999.0,-999.0
4_3,XY,41,7489502.644761438,62879.657854716046,-999.0,-999.0
4_3,XY,281,7576013.625820579,62079.30323619377,-999.0,-999.0
4_3,XY,2063,7464848.623667242,59807.45453114775,-999.0,-999.0
5_6,XY,sum,-2.2067819436981186,-1.6375417138434132,-999.0,-999.0
5_6,XY,1783,7431294.573829457,51621.91987531751,-999.0,-999.0
5_6,XY,872,7521354.82841031,49097.6640534241,-999.0,-999.0
5_6,XY,41,7421978.580797561,50528.43164845741,-999.0,-999.0
5_6,XY,281,7707890.886687468,67839.06504703577,-999.0,-999.0
5_6,XY,2063,7440697.515256366,50420.323313509536,-999.0,-999.0
7_8,XY,sum,-0.01734604390150707,-45856.2922471486,-999.0,-999.0
7_8,XY,1783,7443177.427280542,52356.25983233602,-999.0,-999.0
7_8,XY,872,7511326.570981217,54208.94612743685,-999.0,-999.0
7_8,XY,41,7443513.443511532,55465.51982868372,-999.0,-999.0
7_8,XY,281,7354897.57360742,50750.89405377003,-999.0,-999.0
7_8,XY,2063,7373329.536387638,51473.11512034971,-999.0,-999.0
9_10,XY,sum,38.070274273185596,3.705676774282612,-999.0,-999.0
9_10,XY,1783,7478535.637657819,80429.75262584229,-999.0,-999.0
9_10,XY,872,7410744.034173314,57125.26059981929,-999.0,-999.0
9_10,XY,41,7404196.650411262,65612.17488795702,-999.0,-999.0
9_10,XY,281,7467241.020275877,57011.213278317344,-999.0,-999.0
9_10,XY,2063,7566577.052264223,57314.885431116374,-999.0,-999.0
11_12,XY,sum,-3.1340224207610694,-0.015396747969463912,-999.0,-999.0
11_12,XY,1783,7598961.918915519,58315.86593087699,-999.0,-999.0
11_12,XY,872,7584936.892178824,57487.761288286216,-999.0,-999.0
11_12,XY,41,7560251.0648840135,55744.639863235425,-999.0,-999.0
11_12,XY,281,7617915.593593671,55636.598255661134,-999.0,-999.0
11_12,XY,2063,7610419.19720042,74361.48241210292,-999.0,-999.0
