XscanNumber_YscanNumber,Type,BCID,xsec,xsecErr,normChange,normChangeErr
1_2,XY,sum,5.554800196290811,0.23565565007445805,-999.0,-999.0
1_2,XY,1783,7464163.462290733,57559.59871954298,-999.0,-999.0
1_2,XY,872,7512469.749448033,60373.34202712511,-999.0,-999.0
1_2,XY,41,7487140.734827305,54048.60291397131,-999.0,-999.0
1_2,XY,281,7519484.108404875,55435.26877689695,-999.0,-999.0
1_2,XY,2063,7472572.280608275,63770.614391006384,-999.0,-999.0
4_3,XY,sum,0.18209191535996364,17.62370125351711,-999.0,-999.0
4_3,XY,1783,7464101.730110777,78264.28483160632,-999.0,-999.0
4_3,XY,872,7422757.841742958,63209.56149947394,-999.0,-999.0
4_3,XY,41,7487147.1290607415,62786.12009911566,-999.0,-999.0
4_3,XY,281,7573998.686531214,61988.63110690248,-999.0,-999.0
4_3,XY,2063,7462663.800151182,60011.71533230902,-999.0,-999.0
5_6,XY,sum,-1.7677664232202006,-0.17021094465136444,-999.0,-999.0
5_6,XY,1783,7408319.137692668,51410.55053580864,-999.0,-999.0
5_6,XY,872,7553575.465650652,60843.1645566451,-999.0,-999.0
5_6,XY,41,7397770.187229031,50569.242202191366,-999.0,-999.0
5_6,XY,281,7682145.229275587,67675.79889086238,-999.0,-999.0
5_6,XY,2063,7416608.916828642,50243.97575751462,-999.0,-999.0
7_8,XY,sum,0.06732199111308085,8.191823986896789e-07,-999.0,-999.0
7_8,XY,1783,7403893.276219098,51254.7929912207,-999.0,-999.0
7_8,XY,872,7471717.807685283,53927.43559973571,-999.0,-999.0
7_8,XY,41,7404445.622947295,55205.06128379787,-999.0,-999.0
7_8,XY,281,7316100.561366858,50318.23134561747,-999.0,-999.0
7_8,XY,2063,7334412.582310639,51176.63789034416,-999.0,-999.0
9_10,XY,sum,13.033472458802212,7.986824589671357,-999.0,-999.0
9_10,XY,1783,7496508.46599545,79765.38689496064,-999.0,-999.0
9_10,XY,872,7428023.857389312,57204.30002428676,-999.0,-999.0
9_10,XY,41,7420865.618576521,65747.19069798112,-999.0,-999.0
9_10,XY,281,7484918.706043852,56760.743425968925,-999.0,-999.0
9_10,XY,2063,7584300.3203569995,57434.09732373568,-999.0,-999.0
11_12,XY,sum,0.13724266871334898,0.006228131677395595,-999.0,-999.0
11_12,XY,1783,7592306.791047447,58330.801560354535,-999.0,-999.0
11_12,XY,872,7578425.610495229,57384.93299512338,-999.0,-999.0
11_12,XY,41,7553449.154849448,38078.6033745102,-999.0,-999.0
11_12,XY,281,7611104.07589031,55570.95116711358,-999.0,-999.0
11_12,XY,2063,7603946.301469323,72251.92852105403,-999.0,-999.0
