Fill,6868
Date,Jul012018
Run,"[319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019, 319019]"
InputDIPFile,/eos/cms/store/group/comm_luminosity/VdM/scanFill6868_30June2018/beamData/vdm_4299086b-716a-47ca-8d96-ddc81ee27717.csv
ScanNames,"[u'B1Y1', u'B1Y2', u'B1Y3', u'B1Y4', u'B1Y5', u'B1X1', u'B1X2', u'B1X3', u'B1X4', u'B1X5', u'B2Y1', u'B2Y2', u'B2Y3', u'B2Y4', u'B2Y5', u'B2X1', u'B2X2', u'B2X3', u'B2X4', u'B2X5']"
ScanTimeWindows,"[[1530417492, 1530417677], [1530417706, 1530417893], [1530417920, 1530418107], [1530418135, 1530418321], [1530418349, 1530418534], [1530418959, 1530419147], [1530419175, 1530419364], [1530419392, 1530419580], [1530419606, 1530419795], [1530419822, 1530420011], [1530420649, 1530420840], [1530420869, 1530421060], [1530421089, 1530421279], [1530421308, 1530421499], [1530421526, 1530421717], [1530422217, 1530422402], [1530422428, 1530422612], [1530422639, 1530422823], [1530422849, 1530423033], [1530423060, 1530423243]]"
BetaStar,19.17
Angle,0.0
Offset,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
ParticleTypeB1,proton
ParticleTypeB2,proton
EnergyB1,6499
EnergyB2,6499
FilledBunchesB1,"[13, 34, 55, 76, 97, 118, 139, 160, 181, 202, 223, 244, 265, 286, 307, 328, 363, 384, 405, 426, 447, 468, 489, 510, 718, 739, 760, 781, 802, 823, 844, 865, 897, 918, 939, 960, 981, 1002, 1023, 1044, 1065, 1086, 1107, 1128, 1149, 1170, 1191, 1212, 1254, 1275, 1296, 1317, 1338, 1359, 1380, 1401, 1433, 1454, 1475, 1496, 1517, 1538, 1559, 1580, 1601, 1622, 1643, 1664, 1685, 1706, 1727, 1748, 1780, 1801, 1822, 1843, 1864, 1885, 1906, 1927, 1948, 1969, 1990, 2011, 2032, 2053, 2074, 2095, 2129, 2150, 2171, 2192, 2213, 2234, 2255, 2276, 2297, 2318, 2339, 2360, 2381, 2402, 2423, 2444, 2686, 2707, 2728, 2749, 2770, 2791, 2812, 2833, 2865, 2886, 2907, 2928, 2949, 2970, 2991, 3012, 3033, 3054, 3075, 3096, 3128, 3149, 3170, 3191, 3212, 3233, 3254, 3275, 3296, 3317, 3338, 3359, 3380, 3401, 3422, 3443]"
FilledBunchesB2,"[13, 34, 55, 76, 97, 118, 139, 160, 181, 202, 223, 244, 265, 286, 307, 328, 539, 560, 581, 602, 623, 644, 665, 686, 718, 739, 760, 781, 802, 823, 844, 865, 897, 918, 939, 960, 981, 1002, 1023, 1044, 1065, 1086, 1107, 1128, 1149, 1170, 1191, 1212, 1254, 1275, 1296, 1317, 1338, 1359, 1380, 1401, 1433, 1454, 1475, 1496, 1517, 1538, 1559, 1580, 1601, 1622, 1643, 1664, 1685, 1706, 1727, 1748, 1780, 1801, 1822, 1843, 1864, 1885, 1906, 1927, 1948, 1969, 1990, 2011, 2032, 2053, 2074, 2095, 2129, 2150, 2171, 2192, 2213, 2234, 2255, 2276, 2297, 2318, 2339, 2360, 2381, 2402, 2423, 2444, 2492, 2513, 2534, 2555, 2576, 2597, 2618, 2639, 2865, 2886, 2907, 2928, 2949, 2970, 2991, 3012, 3033, 3054, 3075, 3096, 3128, 3149, 3170, 3191, 3212, 3233, 3254, 3275, 3296, 3317, 3338, 3359, 3380, 3401, 3422, 3443]"
CollidingBunches,"[13, 34, 55, 76, 97, 118, 139, 160, 181, 202, 223, 244, 265, 286, 307, 328, 718, 739, 760, 781, 802, 823, 844, 865, 897, 918, 939, 960, 981, 1002, 1023, 1044, 1065, 1086, 1107, 1128, 1149, 1170, 1191, 1212, 1254, 1275, 1296, 1317, 1338, 1359, 1380, 1401, 1433, 1454, 1475, 1496, 1517, 1538, 1559, 1580, 1601, 1622, 1643, 1664, 1685, 1706, 1727, 1748, 1780, 1801, 1822, 1843, 1864, 1885, 1906, 1927, 1948, 1969, 1990, 2011, 2032, 2053, 2074, 2095, 2129, 2150, 2171, 2192, 2213, 2234, 2255, 2276, 2297, 2318, 2339, 2360, 2381, 2402, 2423, 2444, 2865, 2886, 2907, 2928, 2949, 2970, 2991, 3012, 3033, 3054, 3075, 3096, 3128, 3149, 3170, 3191, 3212, 3233, 3254, 3275, 3296, 3317, 3338, 3359, 3380, 3401, 3422, 3443]"
scan number,scan type,"scan points: number, tStart, tStop, relative displacement"
Scan_1
1,B1Y1,1,1530417492.0,1530417537.0,0.123024
1,B1Y1,2,1530417562.0,1530417607.0,-0.0
1,B1Y1,3,1530417633.0,1530417677.0,-0.123024
Scan_2
2,B1Y2,1,1530417706.0,1530417751.0,0.123024
2,B1Y2,2,1530417778.0,1530417821.0,-0.0
2,B1Y2,3,1530417847.0,1530417893.0,-0.123024
Scan_3
3,B1Y3,1,1530417920.0,1530417965.0,0.123024
3,B1Y3,2,1530417992.0,1530418035.0,-0.0
3,B1Y3,3,1530418062.0,1530418107.0,-0.123024
Scan_4
4,B1Y4,1,1530418135.0,1530418180.0,0.123024
4,B1Y4,2,1530418204.0,1530418250.0,-0.0
4,B1Y4,3,1530418276.0,1530418321.0,-0.123024
Scan_5
5,B1Y5,1,1530418349.0,1530418394.0,0.123024
5,B1Y5,2,1530418419.0,1530418464.0,-0.0
5,B1Y5,3,1530418490.0,1530418534.0,-0.123024
Scan_6
6,B1X1,1,1530418959.0,1530419004.0,0.123024
6,B1X1,2,1530419030.0,1530419076.0,-0.0
6,B1X1,3,1530419103.0,1530419147.0,-0.123024
Scan_7
7,B1X2,1,1530419175.0,1530419220.0,0.123024
7,B1X2,2,1530419248.0,1530419291.0,-0.0
7,B1X2,3,1530419319.0,1530419364.0,-0.123024
Scan_8
8,B1X3,1,1530419392.0,1530419436.0,0.123024
8,B1X3,2,1530419463.0,1530419507.0,-0.0
8,B1X3,3,1530419535.0,1530419580.0,-0.123024
Scan_9
9,B1X4,1,1530419606.0,1530419651.0,0.123024
9,B1X4,2,1530419677.0,1530419723.0,-0.0
9,B1X4,3,1530419750.0,1530419795.0,-0.123024
Scan_10
10,B1X5,1,1530419822.0,1530419867.0,0.123024
10,B1X5,2,1530419894.0,1530419938.0,-0.0
10,B1X5,3,1530419967.0,1530420011.0,-0.123024
Scan_11
11,B2Y1,1,1530420649.0,1530420694.0,-0.123024
11,B2Y1,2,1530420723.0,1530420767.0,0.0
11,B2Y1,3,1530420796.0,1530420840.0,0.123024
Scan_12
12,B2Y2,1,1530420869.0,1530420914.0,-0.123024
12,B2Y2,2,1530420942.0,1530420987.0,0.0
12,B2Y2,3,1530421016.0,1530421060.0,0.123024
Scan_13
13,B2Y3,1,1530421089.0,1530421133.0,-0.123024
13,B2Y3,2,1530421162.0,1530421206.0,0.0
13,B2Y3,3,1530421235.0,1530421279.0,0.123024
Scan_14
14,B2Y4,1,1530421308.0,1530421353.0,-0.123024
14,B2Y4,2,1530421381.0,1530421426.0,0.0
14,B2Y4,3,1530421453.0,1530421499.0,0.123024
Scan_15
15,B2Y5,1,1530421526.0,1530421571.0,-0.123024
15,B2Y5,2,1530421599.0,1530421644.0,0.0
15,B2Y5,3,1530421672.0,1530421717.0,0.123024
Scan_16
16,B2X1,1,1530422217.0,1530422261.0,-0.123024
16,B2X1,2,1530422287.0,1530422332.0,0.0
16,B2X1,3,1530422357.0,1530422402.0,0.123024
Scan_17
17,B2X2,1,1530422428.0,1530422473.0,-0.123024
17,B2X2,2,1530422498.0,1530422543.0,0.0
17,B2X2,3,1530422568.0,1530422612.0,0.123024
Scan_18
18,B2X3,1,1530422639.0,1530422683.0,-0.123024
18,B2X3,2,1530422708.0,1530422753.0,0.0
18,B2X3,3,1530422778.0,1530422823.0,0.123024
Scan_19
19,B2X4,1,1530422849.0,1530422894.0,-0.123024
19,B2X4,2,1530422919.0,1530422963.0,0.0
19,B2X4,3,1530422988.0,1530423033.0,0.123024
Scan_20
20,B2X5,1,1530423060.0,1530423104.0,-0.123024
20,B2X5,2,1530423129.0,1530423174.0,0.0
20,B2X5,3,1530423199.0,1530423243.0,0.123024
